C.x,C.y,C.z,v.x,v.y,v.z,a.x,a.y,a.z,w.x,w.y,w.z,q.w,q.x,q.y,q.z,lf.theta,lf.beta,lf.theta_d,lf.beta_d,rf.theta,rf.beta,rf.theta_d,rf.beta_d,rh.theta,rh.beta,rh.theta_d,rh.beta_d,lh.theta,lh.beta,lh.theta_d,lh.beta_d,lf.contact,rf.contact,rh.contact,lh.contact,lf.dist,rf.dist,rh.dist,lh.dist
-1.0047,2.00613,0.11485,-0.027308206973755474,0.00127735056745847,0.0072247183232598405,0.00022077376618525945,-0.002566994290765211,-0.01720999086434105,3.37229e-07,0.000652422,-2.24622e-06,1.0,8.31389e-08,-2.15783e-05,-7.33537e-06,0.3253515228390361,-0.11780845000000001,0.06552999999999976,-0.2344700000000005,0.35108497283903606,-0.18951399999999996,0.11780000000000124,-0.37719999999999976,0.3510044728390361,0.18962150000000003,0.11859999999999926,0.37600000000000133,0.3252466728390361,0.11792730000000001,0.06661000000000028,0.2331899999999998,0.0,0.0,0.0,0.0,0.114621,0.115731,0.115714,0.114604
-1.00484,2.00613,0.114882,-0.02730603237139524,0.001259800403298639,0.007143543575051799,0.00043604672827300195,-0.003510830834367823,-0.01621999212971481,3.37229e-07,0.000620055,-1.42586e-06,1.0,8.39934e-08,-2.00282e-05,-7.33894e-06,0.32567732283903605,-0.11898065000000002,0.06516000000000022,-0.23443999999999965,0.35167197283903606,-0.19140000000000001,0.11740000000000084,-0.37719999999999976,0.3515954728390361,0.19150250000000005,0.11819999999999886,0.37620000000000153,0.325578072839036,0.11909389999999997,0.06627999999999912,0.23332000000000075,0.0,0.0,0.0,0.0,0.114652,0.11577,0.115754,0.114636
-1.00497,2.00614,0.114914,-0.027304156062851682,0.0012404903498294067,0.007063043286036115,0.00037710654636464097,-0.00386165737691063,-0.016079993241797652,3.37229e-07,0.000587543,-5.85103e-07,1.0,8.48473e-08,-1.85593e-05,-7.3404e-06,0.326001222839036,-0.12015275000000003,0.06478000000000039,-0.23441999999999907,0.352256972839036,-0.19328600000000007,0.11700000000000044,-0.37719999999999976,0.3521839728390361,0.19338300000000003,0.11770000000000114,0.37609999999999866,0.325906772839036,0.12026019999999998,0.06574000000000302,0.2332600000000018,0.0,0.0,0.0,0.0,0.114683,0.115809,0.115794,0.114668
-1.00511,2.00615,0.114946,-0.02730487832652683,0.0012203903157576943,0.006982246816102254,-0.00014006275753957042,-0.004021313919012045,-0.016139994223451026,3.37229e-07,0.000560328,-1.60295e-07,1.0,8.57007e-08,-1.71585e-05,-7.3408e-06,0.32632382283903605,-0.12132514999999999,0.06451999999999847,-0.2344800000000008,0.35283997283903606,-0.19517199999999996,0.11659999999999726,-0.377199999999997,0.35277097283903613,0.19526400000000008,0.11740000000000361,0.37620000000000153,0.3262344228390361,0.12142755000000008,0.06552999999999976,0.2334699999999995,0.0,0.0,0.0,0.0,0.114713,0.115848,0.115834,0.114699
-1.00525,2.00615,0.114977,-0.02730949946762665,0.0011992502171454696,0.006902002988732777,-0.0009123855054389155,-0.004226260459938162,-0.01602999509949754,3.37229e-07,0.000541827,-2.10368e-07,1.0,8.65537e-08,-1.58039e-05,-7.34133e-06,0.3266446728390361,-0.12249729999999992,0.0641699999999995,-0.23442999999999936,0.3534214728390361,-0.19705749999999994,0.11630000000000529,-0.3771000000000052,0.35335547283903607,0.19714550000000003,0.11689999999999479,0.37629999999999886,0.326559572839036,0.12259439999999999,0.06502999999999926,0.2333699999999994,0.0,0.0,0.0,0.0,0.114743,0.115886,0.115873,0.11473
-1.00538,2.00616,0.115008,-0.027314920618236965,0.0011736300994357766,0.006828176379686709,-0.001076717595335191,-0.0051245170013944725,-0.014749995932351823,3.37229e-07,0.000562223,-2.75074e-07,1.0,8.74071e-08,-1.43984e-05,-7.34201e-06,0.326964272839036,-0.12366970000000005,0.06392000000000203,-0.2344800000000022,0.3540009728390361,-0.198944,0.11589999999999656,-0.3772999999999971,0.353938972839036,0.199027,0.11670000000000014,0.37629999999999886,0.32688322283903604,0.12376175,0.06472999999999896,0.2334699999999995,0.0,0.0,0.0,0.0,0.114773,0.115923,0.115912,0.114761
-1.00552,2.00616,0.115038,-0.02732714208272706,0.001148039761876752,0.006754167009394848,-0.0024377469012248206,-0.0051193935435530835,-0.01478999671475556,3.37229e-07,0.000583479,-1.14532e-06,1.0,8.82609e-08,-1.29397e-05,-7.34488e-06,0.3272821728390361,-0.12484179999999995,0.06357999999999919,-0.23441999999999907,0.3545794728390361,-0.2008295,0.11570000000000191,-0.37710000000000243,0.354519972839036,0.20090899999999998,0.11619999999999964,0.37639999999999896,0.32720547283903606,0.12492950000000003,0.064450000000002,0.2335500000000018,0.0,0.0,0.0,0.0,0.114802,0.11596,0.11595,0.114792
-1.00566,2.00617,0.115068,-0.02734116276781379,0.0011269891755294613,0.006683579019264478,-0.0028166534031037723,-0.00420964008822367,-0.014099997402029274,3.37229e-07,0.000573161,-2.77639e-06,1.0,8.91146e-08,-1.15068e-05,-7.35182e-06,0.32759897283903605,-0.12601400000000001,0.0633599999999998,-0.23443999999999826,0.35515597283903605,-0.20271599999999995,0.11529999999999874,-0.37729999999999986,0.35509997283903605,0.20279099999999997,0.11600000000000221,0.37640000000000173,0.327526372839036,0.12609759999999998,0.0641799999999984,0.23361999999999966,0.0,0.0,0.0,0.0,0.114831,0.115997,0.115988,0.114822
-1.00579,2.00617,0.115098,-0.027347087845031492,0.0010732572762720135,0.006657685642643386,-0.0011805094327357586,-0.010744666643675902,-0.0051599981863503785,3.37229e-07,0.000757071,-1.33055e-05,1.0,8.9972e-08,-9.61409e-06,-7.38508e-06,0.32791462283903605,-0.12718635,0.06313000000000152,-0.2344700000000019,0.35573147283903606,-0.2046015,0.11509999999999854,-0.37709999999999966,0.3556779728390361,0.20467300000000008,0.11560000000000181,0.37640000000000173,0.32784542283903606,0.12726555,0.06380999999999887,0.2335899999999988,0.0,0.0,0.0,0.0,0.11486,0.116033,0.116025,0.114852
-1.00593,2.00618,0.115128,-0.02736481379668928,0.0010502551579142005,0.0066081813412616685,-0.003536514600161415,-0.004600103195916669,-0.009879998835943482,3.37229e-07,0.000764809,-1.35877e-05,1.0,9.08295e-08,-7.70207e-06,-7.41905e-06,0.3282291728390361,-0.1283588,0.06290999999999936,-0.2344899999999983,0.35630547283903613,-0.20648749999999993,0.11480000000000379,-0.37719999999999976,0.3562544728390361,0.20655550000000006,0.11529999999999874,0.37649999999999906,0.3281631728390361,0.12843380000000007,0.0635500000000025,0.23365000000000052,0.0,0.0,0.0,0.0,0.114889,0.116069,0.116063,0.114883
-1.00607,2.00618,0.115157,-0.027379138976350446,0.0010320931075604124,0.006550729179955017,-0.0028507204973832667,-0.0036324897458620965,-0.011469999332437197,3.37229e-07,0.000747891,-1.34304e-05,1.0,9.16867e-08,-5.83234e-06,-7.45263e-06,0.328542122839036,-0.12953085000000003,0.06259000000000126,-0.23441000000000156,0.356877972839036,-0.20837300000000003,0.11449999999999516,-0.3770999999999969,0.35682997283903606,0.208438,0.11510000000000131,0.37650000000000183,0.32847967283903606,0.1296023,0.06329999999999808,0.2336999999999992,0.0,0.0,0.0,0.0,0.114918,0.116104,0.116099,0.114913
-1.00621,2.00619,0.115187,-0.027365554316350654,0.0009779489363500276,0.006534762245069827,0.0027095604153507275,-0.010828916288234972,-0.003179999582483717,3.37229e-07,0.000488096,-2.79478e-06,1.0,9.25389e-08,-4.61211e-06,-7.45961e-06,0.328854572839036,-0.13070340000000008,0.06248999999999838,-0.23450999999999889,0.3574494728390361,-0.2102595,0.11430000000000051,-0.37730000000000263,0.35740347283903595,0.2103204999999999,0.11469999999999536,0.3764999999999963,0.328794972839036,0.13077099999999997,0.0630600000000009,0.23374000000000172,0.0,0.0,0.0,0.0,0.114947,0.11614,0.116136,0.114943
-1.00634,2.00619,0.115216,-0.02735766913418885,0.0009528817443619258,0.006477810277974602,0.0015766957366834134,-0.0050134728294837765,-0.011379999762107573,3.37229e-07,0.000452503,-2.26691e-06,1.0,9.33904e-08,-3.48085e-06,-7.46528e-06,0.32916552283903605,-0.13187545,0.062190000000000856,-0.23441000000000156,0.3580199728390361,-0.21214500000000003,0.11410000000000309,-0.37709999999999966,0.35797647283903605,0.21220350000000002,0.11460000000000081,0.37660000000000193,0.32910912283903604,0.13193985,0.06282999999999844,0.23376999999999842,0.0,0.0,0.0,0.0,0.114976,0.116175,0.116172,0.114973
-1.00648,2.0062,0.115245,-0.027358984156752662,0.0009311052401956471,0.006414256782223959,-0.00025453770257732476,-0.004355059372206132,-0.012699999894204339,3.37229e-07,0.000464251,-3.53525e-06,1.0,9.42422e-08,-2.32022e-06,-7.47412e-06,0.329475972839036,-0.13304799999999994,0.06208999999999798,-0.23450999999999889,0.358588972839036,-0.21403099999999997,0.11379999999999724,-0.37719999999999976,0.35854797283903606,0.214086,0.11430000000000329,0.37649999999999906,0.32942197283903607,0.13310900000000003,0.06257000000000207,0.23383000000000015,0.0,0.0,0.0,0.0,0.115004,0.116209,0.116207,0.115002
-1.00662,2.0062,0.115273,-0.027364000371469917,0.0009054324812555923,0.006353946627212314,-0.0010022246030306045,-0.005134575914384866,-0.012049999978689385,3.37229e-07,0.00051295,-4.99635e-06,1.0,9.50949e-08,-1.03785e-06,-7.48661e-06,0.3297849728390361,-0.13422,0.06180000000000213,-0.2343999999999999,0.3591579728390361,-0.21591699999999997,0.11380000000000001,-0.377199999999997,0.3591184728390361,0.21596950000000004,0.11410000000000031,0.37670000000000203,0.32973397283903605,0.134278,0.062399999999999956,0.23380000000000206,0.0,0.0,0.0,0.0,0.115032,0.116244,0.116243,0.115032
-1.00675,2.00621,0.115302,-0.027364917552126042,0.0008800568464888167,0.006291800903703833,-0.00016653774242546794,-0.0050749724547705455,-0.012409999997474941,3.37229e-07,0.000553472,-4.53309e-06,1.0,9.59483e-08,3.45833e-07,-7.49794e-06,0.33009347283903606,-0.13539249999999997,0.06170000000000064,-0.23450000000000137,0.3597249728390361,-0.21780300000000002,0.11340000000000239,-0.3772000000000053,0.35968747283903607,0.21785250000000003,0.11379999999999446,0.3765999999999964,0.33004547283903607,0.13544750000000003,0.06229999999999847,0.233899999999998,0.0,0.0,0.0,0.0,0.11506,0.116277,0.116278,0.115061
-1.00689,2.00621,0.11533,-0.027362436984258616,0.0008617923174962229,0.006236524359744347,0.0004955754250580781,-0.0036527489968243235,-0.011039999926936162,3.37229e-07,0.000632601,-4.13928e-06,1.0,9.68033e-08,1.92734e-06,-7.50829e-06,0.3304009728390361,-0.136565,0.06149999999999767,-0.2344999999999986,0.3602909728390361,-0.2196889999999999,0.11320000000000219,-0.37719999999999976,0.36025597283903604,0.219736,0.11370000000000269,0.37669999999999926,0.33035497283903603,0.136617,0.06190000000000084,0.23390000000000077,0.0,0.0,0.0,0.0,0.115088,0.116311,0.116312,0.11509
-1.00703,2.00622,0.115358,-0.027358363143276214,0.0008230350775812645,0.006211776363216265,0.0008253428032268144,-0.00775116553467527,-0.004919999672532427,3.37229e-07,0.00086276,-9.55527e-06,1.0,9.76625e-08,4.08424e-06,-7.53218e-06,0.3307079728390361,-0.137737,0.06140000000000173,-0.2343999999999999,0.36085647283903605,-0.22157449999999995,0.11309999999999654,-0.37709999999999966,0.3608229728390361,0.22162000000000004,0.11340000000000239,0.3768000000000049,0.33066397283903604,0.137787,0.06180000000000074,0.23400000000000087,0.0,0.0,0.0,0.0,0.115116,0.116344,0.116347,0.115119
-1.00716,2.00622,0.115385,-0.027370691448010638,0.0007981665432444037,0.0061629673071243556,-0.002466786596804895,-0.004973502070351468,-0.009739999186090031,3.37229e-07,0.000942318,-9.86423e-06,1.0,9.85232e-08,6.44003e-06,-7.55684e-06,0.33101397283903605,-0.138909,0.06120000000000014,-0.23440000000000127,0.3614214728390361,-0.2234604999999999,0.11299999999999921,-0.377199999999997,0.3613889728390361,0.22350300000000003,0.11319999999999941,0.3765999999999964,0.330972472839036,0.13895649999999998,0.06169999999999787,0.233899999999998,0.0,0.0,0.0,0.0,0.115143,0.116376,0.116381,0.115148
-1.0073,2.00622,0.115413,-0.027389921244339543,0.000765042749096663,0.006120289216056791,-0.003838394436235251,-0.0066242986029011785,-0.008509998425930476,3.37229e-07,0.00100657,-1.09963e-05,1.0,9.93851e-08,8.95645e-06,-7.58433e-06,0.331318972839036,-0.140081,0.06099999999999717,-0.2343999999999985,0.361984972839036,-0.225346,0.11270000000000446,-0.37710000000000243,0.3619549728390361,0.22538700000000006,0.11319999999999941,0.37680000000000213,0.331279472839036,0.14012649999999996,0.06140000000000173,0.2339999999999995,0.0,0.0,0.0,0.0,0.11517,0.116408,0.116415,0.115177
-1.00744,2.00623,0.11544,-0.027416851340628035,0.0007366236219485008,0.006079277972357414,-0.005377436953064189,-0.0056834751242783995,-0.008169997394396944,3.37229e-07,0.00102686,-1.25567e-05,1.0,1.00247e-07,1.15236e-05,-7.61572e-06,0.3316234728390361,-0.14125349999999998,0.06090000000000123,-0.2345,0.36254797283903606,-0.2272320000000001,0.11259999999999604,-0.37719999999999976,0.362519472839036,0.22727049999999996,0.11290000000000189,0.37669999999999926,0.33158647283903603,0.14129649999999996,0.06140000000000034,0.23400000000000087,0.0,0.0,0.0,0.0,0.115197,0.11644,0.116449,0.115207
-1.00757,2.00623,0.115467,-0.02744608083527282,0.00071215327457912,0.006036357245827997,-0.005844906522894308,-0.004893641645892284,-0.008559996112913026,3.37229e-07,0.00102062,-1.38779e-05,1.0,1.01109e-07,1.40751e-05,-7.65041e-06,0.331927972839036,-0.14242600000000005,0.06090000000000123,-0.2345,0.363110972839036,-0.229118,0.11259999999999881,-0.377199999999997,0.36308347283903614,0.2291545000000001,0.11279999999999901,0.37680000000000213,0.33189247283903606,0.1424665,0.06120000000000014,0.23400000000000087,0.0,0.0,0.0,0.0,0.115224,0.116472,0.116483,0.115235
-1.00771,2.00623,0.115494,-0.027473909438123174,0.000688828903414175,0.005988497668716872,-0.005557206402732192,-0.004664608167640112,-0.00953999459259336,3.37229e-07,0.00101038,-1.41654e-05,1.0,1.01971e-07,1.66011e-05,-7.68583e-06,0.3322309728390361,-0.143598,0.06059999999999954,-0.23440000000000127,0.363671972839036,-0.23100400000000004,0.11220000000000396,-0.37720000000000253,0.36364647283903606,0.2310385,0.11259999999999881,0.3767999999999966,0.33219747283903606,0.1436365,0.06099999999999994,0.23400000000000087,0.0,0.0,0.0,0.0,0.115251,0.116503,0.116516,0.115264
